county_name,year,median_income,median_home,median_rent,state_fips,county_fips,pop,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,mortgage_rate,fed_rate,cpi,inflation_rate,housing_burden,hud_burden,real_income_index,macro_housing_pressure
Cattaraugus County,2018,47240,86200,639,36,009,80317,544,563,697,952,1067,4.539041666666667,1.8316666666666666,251.0995,2.438999514525486,0.16232006773920407,0.1770533446232007,18813.259285661657,0.7367775508044031
Cattaraugus County,2019,48703,88100,655,36,009,80317,566,569,700,967,1079,3.93375,2.158333333333333,255.65258333333333,1.8132586219141489,0.16138636223641253,0.17247397490914318,19050.4626884597,0.6348536024474878
Cattaraugus County,2020,50700,90200,654,36,009,78175,585,585,716,993,1101,3.1136666666666666,0.37583333333333335,258.85575,1.2529373358571627,0.15479289940828403,0.16946745562130178,19586.19810454278,0.48197349112426036
Cattaraugus County,2021,53537,92500,682,36,009,78175,604,607,734,1015,1104,2.9557083333333334,0.08,270.97341666666665,4.681242996018686,0.15286624203821655,0.1645217326335058,19757.288614719586,0.451828025477707
Cattaraugus County,2022,56889,105100,745,36,009,78175,614,618,757,1021,1102,5.3275,1.6833333333333333,292.62641666666667,7.990820747791694,0.15714813057005747,0.15967937562621948,19440.828564976335,0.8372066656119811
Cattaraugus County,2023,58248,109400,759,36,009,76750,653,658,826,1068,1180,6.795375,5.024166666666667,304.70300000000003,4.126962791295052,0.15636588380716934,0.17016893283889575,19116.319826191404,1.0625648176761433
Cattaraugus County,2024,59540,113100,770,36,009,76750,705,709,905,1138,1291,6.7236666666666665,5.1433333333333335,313.6981666666667,2.9521096499432797,0.1551897883775613,0.1823983876385623,18980.028041817266,1.043444407121263
Cayuga County,2009,47414,95000,614,36,011,81963,601,602,722,961,1115,5.041375,0.16,214.56466666666665,NA,0.15539714008520691,0.18273083899270257,22097.766951377518,0.7834152570970601
Cayuga County,2010,48415,98400,629,36,011,81963,624,626,750,998,1159,4.6905833333333335,0.175,218.07616666666667,1.6365695501278532,0.1559020964577094,0.1858928018176185,22200.958839304614,0.7312717752762574
Cayuga County,2011,50140,100200,643,36,011,81963,619,620,744,990,1149,4.4558333333333335,0.10166666666666667,224.923,3.1396522774535196,0.15388911049062626,0.17806142800159552,22292.073287302766,0.6857042281611488
Cayuga County,2012,50950,101500,649,36,011,81963,596,597,716,953,1106,3.6559166666666667,0.14,229.58608333333333,2.0731909735035137,0.152855740922473,0.1686359175662414,22192.11167343549,0.5588278508341511
Cayuga County,2013,51581,106600,660,36,011,80026,534,567,722,947,1130,3.9819166666666668,0.1075,232.95175,1.4659715509759863,0.15354490994746128,0.16796882573040461,22142.353513120208,0.6114030360016286
Cayuga County,2014,51792,109000,666,36,011,80026,551,586,746,978,1168,4.172833333333333,0.08916666666666667,236.715,1.6154632879984865,0.15430954587581094,0.17284522706209454,21879.475318420886,0.6439080166821131
Cayuga County,2015,52082,113600,673,36,011,80026,554,589,749,982,1172,3.849,0.1325,237.00175000000002,0.12113723253701636,0.1550631696171422,0.1725740178948581,21975.365160805773,0.5968381398563803
Cayuga County,2016,53114,117800,695,36,011,80026,535,576,761,998,1152,3.6477083333333336,0.395,240.00541666666666,1.2673605433996427,0.1570207478254321,0.17193207064050908,22130.33386399265,0.5727658903490606
Cayuga County,2017,54664,120000,715,36,011,80026,549,594,784,1019,1146,3.991,1.0016666666666667,245.121,2.1314449500271726,0.15695887604273379,0.1721059563881165,22300.822858914576,0.6264228742865505
Cayuga County,2018,56579,123000,747,36,011,80026,536,594,770,982,1064,4.539041666666667,1.8316666666666666,251.0995,2.438999514525486,0.15843334099224093,0.16331147598932466,22532.5020559579,0.7191355361529896
Cayuga County,2019,58377,128000,763,36,011,80026,562,621,786,994,1081,3.93375,2.158333333333333,255.65258333333333,1.8132586219141489,0.1568425921167583,0.16157048152525824,22834.504247463436,0.6169795467392979
Cayuga County,2020,57985,131700,769,36,011,78320,603,657,817,1032,1127,3.1136666666666666,0.37583333333333335,258.85575,1.2529373358571627,0.15914460636371475,0.169078209881866,22400.506845994343,0.4955232560144865
Cayuga County,2021,59602,138200,799,36,011,78320,638,685,847,1076,1197,2.9557083333333334,0.08,270.97341666666665,4.681242996018686,0.16086708499714775,0.17053119022851582,21995.51555026462,0.47547618368511124
Cayuga County,2022,63227,158900,868,36,011,78320,633,677,846,1072,1199,5.3275,1.6833333333333333,292.62641666666667,7.990820747791694,0.16473974725987314,0.16056431587771047,21606.730082753405,0.8776510035269741
Cayuga County,2023,66583,164200,895,36,011,76958,728,734,937,1181,1371,6.795375,5.024166666666667,304.70300000000003,4.126962791295052,0.161302434555367,0.1688719342775183,21851.77041250004,1.096110531216677
Cayuga County,2024,67904,171000,942,36,011,76958,728,733,958,1210,1409,6.7236666666666665,5.1433333333333335,313.6981666666667,2.9521096499432797,0.1664703110273327,0.16929783223374176,21646.285256156527,1.1192908812441094
Chautauqua County,2009,40179,77800,571,36,013,139750,567,570,683,881,962,5.041375,0.16,214.56466666666665,NA,0.17053684760695886,0.2039871574703203,18725.823139566317,0.8597402001045323
